address_1,address_2,label
"Rua Viana da Mota, 10","Rua Bouca, 8, 4630-016, Avessadas",0
"Cc Ribeiro, 13, 4575-046, Alpendurada E Matos","cc ribeiro, 13, 4575-046, alpendurada e matos",1
"Conde da Ericeira, 16, 6200, Covilhã e Canhoso","Rua Doutor Brito Camacho, 26, 7830-220, Pias",0
"Rua das Escolas, 94, Vimieiro ARL","Rua da Pinheira, 3, 8700-071, Moncarapacho",0
"Rua do Norte, 77, 7630-125, Odemira","Esplanada do Castelo, 63",0
"Rua Zeca Afonso, 5, 7750-102, Corte do Pinto","r. zeca afonso, 5, 7750-102, corte do pinto",1
"Rua da Escola, 38, 2080-701, Raposa","Rua Gonçalves Zarco, 3",0
"Alameda das Linhas de Torres, 124","Rua do Paço, 20, 2080-109, Almeirim",0
"Rua das Figueiras, 3, 7425-015, Horta Velha","Travessa Centro Cívico, 2, 9200-032",0
"Rua Guilherme Gomes Fernandes, 11, 7300-186, Portalegre","Rua do Pombal, 24, 7800-694, Salvada",0
"Rua Central Senhor Reis do Fidalgo, 294, Travanca","Bairro Abibes, 27, 7100-014, Arcos",0
"Rua Doutor Álvaro Sousa Rego, 45, 7005-107, Azaruja","r. doutor álvaro sousa rego, 45, 7005-107, azaruja",1
"Rua Do Poço, 33, 7800-693, Salvada","r. do poço, 33, 7800-693, salvada",1
"Cc Nogueiras, 95, 4625-338, Penha Longa","cc nogueiras, 95, 4625-338, penha longa",1
"Rua Serpa Pinto, 41, 7860-069, Moura","r. serpa pinto, 41, 7860-069, moura",1
"Rua dos Correeiros, 154","Rua Dom Jorge da Costa, 3A, 1400-423, Lisboa",0
"Rua Pinto de Melo, 60, 7920-390, Vila Nova da Baronia","Rua Forno, 1, 6320-271",0
"Rua Vasco da Gama, 13, 7565-071, Alvalade","Rua de Pádua Correia, 73, Vila Nova de Gaia",0
"Rua Doutor Manuel D'Arriaga, 32, 7480-139, Avis","Rua das Escolas, 94, Vimieiro ARL",0
"Rua Doutor Brito Camacho, 26, 7830-220, Pias","Rua Doutor Torrão Santos, 24, 2080-123, Almeirim",0
"Rua Hintze Ribeiro, 20","r. hintze ribeiro, 20",1
"Rua de Testour, 4, 7830-479, Serpa","Beco Salao, 30, 9020-058",0
"Rua Pedro Franco, 18","r. pedro franco, 18",1
"Rua Dom Nuno Álvares Pereira, 166, 7570-239, Grândola","Rua de Cabinda, 41, 2100-376, Santa Justa",0
"Rua de Cabinda, 41, 2100-376, Santa Justa","Rua Três Bicas, 20, 6320-271",0
"Rua 5 De Outubro, 28, 9000-079","Rua Doutor Manuel D'Arriaga, 32, 7480-139, Avis",0
"Estrada Nacional 18, 32, 7005-863, Évora","Rua da República, 84, 7040-402, Carrascal",0
"Praceta Sociedade Arqueologia Lusitania, 11, 2910-675, Setúbal","Esplanada do Castelo, 63",0
"Rua Nova de Santa Cruz, 11, 4710-409, Braga","r. nova de santa cruz, 11, 4710-409, braga",1
"Rua Nova, 5, 7240-012, Granja","r. nova, 5, 7240-012, granja",1
"Rua da Lagartixa, 222, 7500-110, Vila Nova de Santo André","r. da lagartixa, 222, 7500-110, vila nova de santo andré",1
"Rua das Figueiras, 3, 7425-015, Horta Velha","r. das figueiras, 3, 7425-015, horta velha",1
"Rua Nova, 5, 7240-012, Granja","Rua Nova de Santa Cruz, 11, 4710-409, Braga",0
"Cc Alto Das Perdizes, 27, 4635-693, Vila Boa De Quires","cc alto das perdizes, 27, 4635-693, vila boa de quires",1
"Estrada Visc Cacongo, 10 A, 9060-007","estrada visc cacongo, 10 a, 9060-007",1
"Rua de Santo António, 53, 7470-032, Cano","Rua Marquês da Praia e Monfort, 6",0
"Estrada Principal, 568, 2040-155, Fráguas RMR","Rua Nova, 5, 7240-012, Granja",0
"Rua Forno, 1, 6320-271","r. forno, 1, 6320-271",1
"Rua do Lavadouro, 21, 7440-201, Chancelaria","r. do lavadouro, 21, 7440-201, chancelaria",1
"Rua dos Combatentes da Grande Guerra, 14, 6050-338, Nisa","r. dos combatentes da grande guerra, 14, 6050-338, nisa",1
"Rua de Testour, 4, 7830-479, Serpa","Rua da Branqueira, 14, 3870-335, Torreira",0
"Rua Príncipe d Luis, 32, 9360-218","Rua de Santo António, 53, 7470-032, Cano",0
"Rua 1º de Maio, 8, 7040-703, Sabugueiro","Rua Gonçalves Zarco, 3",0
"Estrada Nacional 120, 40, 7630-565, Baiona","estrada nacional 120, 40, 7630-565, baiona",1
"Estrada Fajã Rib Entrada 36, 1, 9350-147","estrada fajã rib entrada 36, 1, 9350-147",1
"Rua Três Bicas, 20, 6320-271","Rua do Arrabalde, 19, 7900-390, Odivelas",0
"Travessa Preces, 43, 9020-251, Funchal","Rua Moreno, 8, 3000-290, Coimbra",0
"Caminho Lages Lombadinha, 67, 9100-015","Rua Nova da Praça de Touros, 15, 6050-382, Nisa",0
"Rua Moreno, 8, 3000-290, Coimbra","Estrada Fontaínhas, 66, 9300-264, Câmara de Lobos",0
"Rua Ximenes Belo, 27, 7050-180, Montemor-o-Novo","Rua Do Poço, 33, 7800-693, Salvada",0
"Estrada Visc Cacongo, 10 A, 9060-007","Estrada Principal, 568, 2040-155, Fráguas RMR",0
"Rua Nova do Carmo, 35, 7860-180, Moura","Caminho Portadinha, 14, 9135-373",0
"Rua da Branqueira, 14, 3870-335, Torreira","Rua de Pádua Correia, 73, Vila Nova de Gaia",0
"Rua Tenente Coronel Ribeiro dos Reis, 8, 1500-588, Lisboa","r. tenente coronel ribeiro dos reis, 8, 1500-588, lisboa",1
"Rua Marquesa de Alorna, 27C, 1700-300, Lisboa","Rua de Vila Viçosa, 66, 7350-501, Vila Boim",0
"Caminho Terco, 2, 9060-311","Rua da Igreja, 23;23A, 7040-630, Vimieiro",0
"Rua do Pombal, 24, 7800-694, Salvada","r. do pombal, 24, 7800-694, salvada",1
"Rua 22, 19","R. 22, 19",1
"Urb De Vila Verde, 38, 4630-078, Marco De Canaveses","urb de vila verde, 38, 4630-078, marco de canaveses",1
"Bairro Social Humberto Simão, 26, 8800-592, Cabanas de Tavira","Rua S João Qta s Oao, 8, 9000-190",0
"Rua Conde de Nova Goa, 42, 7470-119, Casa Branca","Rua Luís de Camões, 88, 7520-220, Sines",0
"Rua da Branqueira, 14, 3870-335, Torreira","r. da branqueira, 14, 3870-335, torreira",1
"Travessa Piornais, 10, 9000-246","travessa piornais, 10, 9000-246",1
"Avenida do Monte de Cima, 305 B, Paços de Brandão","av. do monte de cima, 305 b, paços de brandão",1
"Travessa Centro Cívico, 2, 9200-032","Rua Serpa Pinto, 41, 7860-069, Moura",0
"Rua da Liberdade, 25, 2520-323, Peniche","r. da liberdade, 25, 2520-323, peniche",1
"Rua de Pádua Correia, 73, Vila Nova de Gaia","Rua Doutor Brito Camacho, 26, 7830-220, Pias",0
"Rua de António Carvalho Monteiro, 6, 7800-150","Rua Gonçalves Zarco, 3",0
"Rua das Escolas, 94, Vimieiro ARL","r. das escolas, 94, vimieiro arl",1
"Rua de São João, 4, 7960-171, Selmes","Rua Cruz Vermelha Comp Hab Das Figueirinhas, 54, 9125-127",0
"Rua Carlos Oliveira, 19, 7050-159, Montemor-o-Novo","Rua Capitão João Pires, 51, 6040-024, Belver",0
"Estrada Padre Alfredo Vieira Freitas, CCI 201, 9100-055","estrada padre alfredo vieira freitas, cci 201, 9100-055",1
"Conde da Ericeira, 16, 6200, Covilhã e Canhoso","Rua da Liberdade, 25, 2520-323, Peniche",0
"Rua das Figueiras, 3, 7425-015, Horta Velha","Urb De Vila Verde, 38, 4630-078, Marco De Canaveses",0
"Rua Dom Sancho I, LT 238, 2955-177, Pinhal Novo","Rua do Pombal, 24, 7800-694, Salvada",0
"Estrada Fontaínhas, 66, 9300-264, Câmara de Lobos","Travessa da Piçarra, 9B, 7000-619, Évora",0
"Rua da Liberdade, 25, 2520-323, Peniche","Rua 22, 19",0
"Rua da Liberdade, 25, 2520-323, Peniche","Rua Ximenes Belo, 27, 7050-180, Montemor-o-Novo",0
"Caminho Pico Do Infante, 21, 9135-424","caminho pico do infante, 21, 9135-424",1
"Rua Alferes António José Abreu Abrantes, 4, 7940-378, Vila Alva","Rua da Palmeira, 4, 8800-692, Tavira",0
"Rua Sapateira, 3, 6320-523","Avenida do Prior, 7, 7800-661, Quintos",0
"Rua Pinto de Melo, 60, 7920-390, Vila Nova da Baronia","r. pinto de melo, 60, 7920-390, vila nova da baronia",1
"Largo Dr. João Elisio Ferreira Sucena, 68, 3750-108, Águeda","lg. dr. joão elisio ferreira sucena, 68, 3750-108, águeda",1
"Rua Arcebispo de Cangranor, 152, 3870-039, Bunheiro","Estrada Principal, 568, 2040-155, Fráguas RMR",0
"Rua das Escolas, 94, Vimieiro ARL","Rua do Pombal, 24, 7800-694, Salvada",0
"Rua dos Correeiros, 154","r. dos correeiros, 154",1
"Rua Jorge Raposo, 7, 7800-185","Rua da Liberdade, 25, 2520-323, Peniche",0
"Rua Doutor Brito Camacho, 26, 7830-220, Pias","r. doutor brito camacho, 26, 7830-220, pias",1
"Rua João Villaret, 17, 2910-161, Setúbal","r. joão villaret, 17, 2910-161, setúbal",1
"Rua 1º de Maio, 32, 7570-146, Grândola","Rua Professor Alexandre Justino Vieira, 2, 6320-242",0
"Travessa Piornais, 10, 9000-246","Rua Dom Sancho I, LT 238, 2955-177, Pinhal Novo",0
"Estrada Nacional 327, 1535, São Miguel do Souto","Estrada Regional 222, 490, 9370-702, Calheta",0
"Rua Cruz Vermelha Comp Hab Das Figueirinhas, 54, 9125-127","Estrada Padre Alfredo Vieira Freitas, CCI 201, 9100-055",0
"Caminho Terco, 2, 9060-311","Estrada Nacional 120, 40, 7630-565, Baiona",0
"Largo Visconde da Boavista, 7, 7800-137","Rua Dom Nuno Álvares Pereira, 146, 7570-239, Grândola",0
"Rua Adelino Amaro da Costa, 2a, 2725-207, MEM MARTINS","Bairro Abibes, 27, 7100-014, Arcos",0
"Travessa Levada Relva, 45, 9360-332","travessa levada relva, 45, 9360-332",1
"Praceta Sociedade Arqueologia Lusitania, 11, 2910-675, Setúbal","praceta sociedade arqueologia lusitania, 11, 2910-675, setúbal",1
"Rua Capitão João Pires, 51, 6040-024, Belver","Rua Guilherme Gomes Fernandes, 11, 7300-186, Portalegre",0
"Rua Marquês de Pombal, 16, 7580-166, Alcácer do Sal","Estrada Nacional 18, 32, 7005-863, Évora",0
"Rua Guilherme Gomes Fernandes, 11, 7300-186, Portalegre","r. guilherme gomes fernandes, 11, 7300-186, portalegre",1
"Rua Ximenes Belo, 27, 7050-180, Montemor-o-Novo","r. ximenes belo, 27, 7050-180, montemor-o-novo",1
"Conde da Ericeira, 16, 6200, Covilhã e Canhoso","conde da ericeira, 16, 6200, covilhã e canhoso",1
"Rua Doutor Torrão Santos, 24, 2080-123, Almeirim","Caminho Pico Do Infante, 21, 9135-424",0
"Rua José Régio, 18","Rua de Brito Capelo, 129",0
"Avenida do Prior, 7, 7800-661, Quintos","av. do prior, 7, 7800-661, quintos",1
"Rua Dom Sancho I, LT 238, 2955-177, Pinhal Novo","Rua Nova, 8, 7040-541, São Pedro Gafanhoeira",0
"Rua José Régio, 18","Rua João da Guarda Cabreira, 30, 8950-126, Castro Marim",0
"Rua Gonçalves Zarco, 2, 2910-714, Setúbal","r. gonçalves zarco, 2, 2910-714, setúbal",1
"Rua S João Qta s Oao, 8, 9000-190","Rua Nova da Praça de Touros, 15, 6050-382, Nisa",0
"Rua Vasco da Gama, 13, 7565-071, Alvalade","Caminho S Roque, 27, 9020-122",0
"Rua 1º de Maio, 88, 2090-217, Frade de Cima","Rua José Régio, 18",0
"Rua de São Mamede, 7, 5000-411, Vila Real","Rua da Estalagem, 42, 7470-122, Casa Branca",0
"Rua de São Miguel, 375, 4470-338, Maia","Caminho Sto António, 62 C, 9020-001",0
"Rua Conde Carvalhal, 122 E, 9060-014","r. conde carvalhal, 122 e, 9060-014",1
"Rua José Régio, 18","Beco do Themudo, 11, 7000-784, Évora",0
"Estrada Regional 222, 490, 9370-702, Calheta","Beco Salao, 30, 9020-058",0
"Rua Fialho de Almeida, 93, 7780-190, Castro Verde","Estrada Nacional 120, 40, 7630-565, Baiona",0
"Rua Dr Vasco Augusto Franca, 66, 9385-249, Calheta","Estrada Fontaínhas, 66, 9300-264, Câmara de Lobos",0
"Rua Doutor Brito Camacho, 26, 7830-220, Pias","Rua Gonçalves Zarco, 2, 2910-714, Setúbal",0
"Rua de Cabinda, 41, 2100-376, Santa Justa","Avenida João das Regras, 152, 3040-256, Coimbra",0
"Rua 25 de Abril, 24, 7630-692, Fornalhas Velhas","r. 25 de abril, 24, 7630-692, fornalhas velhas",1
"Rua de Brito Capelo, 129","Rua Heróis do Ultramar, 19A, 7370-026, Campo Maior",0
"Rua do Lavadouro, 21, 7440-201, Chancelaria","Rua do Norte, 77, 7630-125, Odemira",0
"Rua de Brito Capelo, 129","r. de brito capelo, 129",1
"Rua João da Guarda Cabreira, 30, 8950-126, Castro Marim","Rua Fialho de Almeida, 93, 7780-190, Castro Verde",0
"Rua Dr. Frederico Moniz Pereira, 49, 9675-055","Rua de Vila Viçosa, 66, 7350-501, Vila Boim",0
"Rua Alberto Teixeira Villas Valeverde, D, 9125-257","Urb De Vila Verde, 38, 4630-078, Marco De Canaveses",0
"Rua do Regimento de Engenharia de Espinho, 327","r. do regimento de engenharia de espinho, 327",1
"Rua da Liberdade, 25, 2520-323, Peniche","Rua José Régio, 18",0
"Rua Professor Manuel Carlos, 55, 8700-039, Fuzeta","Rua da Liberdade, 25, 2520-323, Peniche",0
"Rua Adelino Amaro da Costa, 2a, 2725-207, MEM MARTINS","Largo Visconde da Boavista, 7, 7800-137",0
"Rua da Oliveira, 44, 7000-859, Évora","r. da oliveira, 44, 7000-859, évora",1
"Rua Capitão João Pires, 51, 6040-024, Belver","Rua Tenente Valadim, 94, 7800-073, Beja",0
"Avenida 19 de Agosto, 5049, 4740","av. 19 de agosto, 5049, 4740",1
"Caminho Ribeira De Santana, 38, 9020-113, Funchal","Rua Cruz Vermelha Comp Hab Das Figueirinhas, 54, 9125-127",0
"Rua do Poço, 15, 7860-166, Moura","Rua António Feliciano de Castilho, 24, 7900-581, Ferreira do Alentejo",0
"Rua de Oliveira Martins, 419","Rua Doutor Zeca Afonso, 18, 7200-141, São Pedro do Corval",0
"Rua Conde Carvalhal, 122 E, 9060-014","Rua das Figueiras, 3, 7425-015, Horta Velha",0
"Rua João Villaret, 17, 2910-161, Setúbal","Rua Bouca, 8, 4630-016, Avessadas",0
"Rua da Palmeira, 4, 8800-692, Tavira","Rua João da Guarda Cabreira, 30, 8950-126, Castro Marim",0
"Caminho Igreja Aldeamento Das Eiras Iv, 7, 9125-132","Rua Pinto de Melo, 60, 7920-390, Vila Nova da Baronia",0
"Urbanização Quinta de Perogil, 38, 8800-217, Tavira","Rua de Matosinhos, 699, Esmoriz",0
"Rua do Lavadouro, 21, 7440-201, Chancelaria","Estrada João Gonçalves Zarco, 656, 9325, Estreito de Câmara de Lobos",0
"Rua Professor Alexandre Justino Vieira, 2, 6320-242","r. professor alexandre justino vieira, 2, 6320-242",1
"Rua Cabeço, 18, 6320-181","Rua Marquês de Pombal, 16, 7580-166, Alcácer do Sal",0
"Travessa do Cavaco, 13, 7000-681, Évora","Travessa da Piçarra, 9B, 7000-619, Évora",0
"Rua de São Miguel, 375, 4470-338, Maia","r. de são miguel, 375, 4470-338, maia",1
"Largo Visconde da Boavista, 7, 7800-137","Estrada Principal, 568, 2040-155, Fráguas RMR",0
"Cc Alto Das Perdizes, 27, 4635-693, Vila Boa De Quires","Rua Autonomia, B1, 9125-050",0
