precision,recall,f1_score,accuracy,true_positives,false_positives,false_negatives,true_negatives,mean_similarity_positive,mean_similarity_negative,similarity_separation,algorithm_name,threshold,avg_processing_time,total_processing_time,pairs_per_second,hybrid_composition,optimized_weights
0.8418512945571525,0.81125,0.8262674101800219,0.829425,16225,3048,3775,16952,0.7050654827117326,0.38333120306529556,0.3217342796464371,Jaccard (Baseline),0.6,5.1497846841812134e-05,2.0599138736724854,19418.287585338032,,
0.8234659266111625,0.80115,0.8121546961325967,0.8147,16023,3435,3977,16565,0.8237087795411204,0.6535689498917322,0.17013982964938823,Optimized: jaro_winkler_tfidf,0.75,0.0027276147603988647,109.10459041595459,366.6206879793274,,"{'jaro_winkler': np.float64(0.7000000000000001), 'tfidf': np.float64(0.29999999999999993)}"
0.8844438527591028,0.66435,0.7587585301087857,0.788775,13287,1736,6713,18264,0.7680426366944318,0.5529286882416412,0.21511394845279064,Hybrid: jaro_winkler_tfidf_50_50,0.75,0.0029893524527549744,119.57409811019897,334.5206079926789,"jaro_winkler:0.50, tfidf:0.50",
0.8510837653819726,0.68125,0.7567552556305368,0.781025,13625,2384,6375,17616,0.7795876358917085,0.513788877991182,0.26579875790052654,Hybrid: best_char_token_phonetic,0.75,0.00033049633502960204,13.219853401184082,3025.7521612469063,"jaro_winkler:0.30, jaccard:0.50, metaphone:0.20",
0.671953289991304,0.81135,0.7351015878049332,0.707625,16227,7922,3773,12078,0.907207993811153,0.8045293423668685,0.10267865144428456,Jaro_winkler (Baseline),0.85,0.00011859182119369507,4.743672847747803,8432.284705086939,,
0.7661620853598557,0.701,0.7321339982767174,0.743525,14020,4279,5980,15721,0.8408352378868175,0.6041758555546186,0.23665938233219885,Hybrid: jaro_winkler_metaphone_50_50,0.75,0.00017427942156791686,6.971176862716675,5737.912089697285,"jaro_winkler:0.50, metaphone:0.50",
0.8940106374778386,0.5799,0.7034846692748613,0.755575,11598,1375,8402,18625,0.7402095652710877,0.5026085574165958,0.2376010078544919,Hybrid: jaro_winkler_tfidf_40_60,0.75,0.002017005926370621,80.68023705482483,495.7843638066991,"jaro_winkler:0.40, tfidf:0.60",
0.8616269754569951,0.59155,0.701491209866295,0.748275,11831,1900,8169,18100,0.7260242712148962,0.38923373654805593,0.3367905346668403,Hybrid: jaccard_soundex_75_25,0.75,0.00016196638941764832,6.478655576705933,6174.120467805138,"jaccard:0.75, soundex:0.25",
0.8242642976124376,0.5938,0.6903045803301558,0.7336,11876,2532,8124,17468,0.7397639823371074,0.3935767859038321,0.3461871964332753,Optimized: jaccard_metaphone,0.75,0.00016323037147521972,6.529214859008789,6126.310875619196,,"{'jaccard': np.float64(0.5), 'metaphone': np.float64(0.5)}"
0.771478630874163,0.61645,0.685306133792835,0.716925,12329,3652,7671,16348,0.7649871230529398,0.5609960490694618,0.20399107398347804,Hybrid: levenshtein_soundex_70_30,0.75,0.0011664681434631348,46.65872573852539,857.2887357481479,"levenshtein:0.70, soundex:0.30",
0.7711901624945103,0.6146,0.6840479701716798,0.716125,12292,3647,7708,16353,0.7889006367243867,0.406941336996337,0.3819592997280497,Soundex (Baseline),0.75,6.3961523771286e-05,2.5584609508514404,15634.399261277855,,
0.8214637579169599,0.58365,0.6824320374159603,0.7284,11673,2537,8327,17463,0.742758880737007,0.440265328143226,0.302493552593781,Optimized: levenshtein_jaccard_metaphone,0.75,0.0012530145466327668,50.12058186531067,798.0753317567668,,"{'levenshtein': np.float64(0.2), 'jaccard': np.float64(0.4), 'metaphone': np.float64(0.4)}"
0.7740880825693954,0.60375,0.6783898424113037,0.713775,12075,3524,7925,16476,0.7626280773869561,0.5377406457574282,0.22488743162952796,Hybrid: levenshtein_metaphone_60_40,0.75,0.0008824236690998077,35.29694676399231,1133.2424945266214,"levenshtein:0.60, metaphone:0.40",
0.8567523236741389,0.54845,0.6687802944852604,0.728375,10969,1834,9031,18166,0.7258845824869575,0.3894785527684175,0.33640602971854006,Hybrid: jaccard_metaphone_70_30,0.75,0.00017045230269432067,6.818092107772827,5866.743858505345,"jaccard:0.70, metaphone:0.30",
0.8330487426265135,0.53665,0.6527794672181,0.71455,10733,2151,9267,17849,0.7338467800493444,0.4605359244113619,0.2733108556379826,Hybrid: levenshtein_jaccard_metaphone_30_50_20,0.75,0.0012811003983020782,51.24401593208313,780.5789470718781,"levenshtein:0.30, jaccard:0.50, metaphone:0.20",
0.8234793375638446,0.53205,0.6464370329870603,0.709,10641,2281,9359,17719,0.7375099524635801,0.484348040769154,0.2531619116944261,Hybrid: levenshtein_jaccard_soundex_40_45_15,0.75,0.0012583147406578063,50.332589626312256,794.7137291558964,"levenshtein:0.40, jaccard:0.45, soundex:0.15",
0.8755361125407446,0.51035,0.6448291111251501,0.7189,10207,1451,9793,18549,0.7224634617080729,0.44297035661101597,0.2794931050970569,Hybrid: jaro_winkler_tfidf_soundex_25_60_15,0.75,0.0030684441566467286,122.73776626586914,325.8980606943242,"jaro_winkler:0.25, tfidf:0.60, soundex:0.15",
0.7847765262931343,0.54695,0.644627125136274,0.698475,10939,3000,9061,17000,0.774462481962482,0.40382236874236876,0.37064011322011325,Metaphone (Baseline),0.8,6.525164842605591e-05,2.6100659370422363,15325.283331856575,,
0.7549343213203099,0.56035,0.6432486726933563,0.689225,11207,3638,8793,16362,0.756781636002886,0.4060721661671661,0.3507094698357198,Nysiis (Baseline),0.75,6.557162404060364e-05,2.6228649616241455,15250.499200397633,,
0.7411167512690355,0.5402,0.6249060096014808,0.67575,10804,3774,9196,16226,0.7497711751741183,0.6026506676972505,0.14712050747686778,Optimized: levenshtein_jaccard,0.75,0.0011418409705162048,45.67363882064819,875.7786993296613,,"{'levenshtein': np.float64(0.9), 'jaccard': np.float64(0.09999999999999998)}"
0.8144765187419216,0.4726,0.5981332067710805,0.682475,9452,2153,10548,17847,0.7299019785241692,0.5051753500830483,0.2247266284411209,Hybrid: levenshtein_jaccard_50_50,0.75,0.0008798755168914795,35.19502067565918,1136.5244069216853,"levenshtein:0.50, jaccard:0.50",
0.8216221181225315,0.44725,0.5792080810697057,0.675075,8945,1942,11055,18058,0.7249346793616819,0.48080652067949775,0.24412815868218413,Hybrid: levenshtein_jaccard_40_60,0.75,0.0008591238081455231,34.36495232582092,1163.976589309715,"levenshtein:0.40, jaccard:0.60",
0.8284780309585617,0.43085,0.5668892470642413,0.670825,8617,1784,11383,18216,0.7199673801991945,0.45643769127594713,0.26352968892324735,Hybrid: levenshtein_jaccard_30_70,0.75,0.0008615646183490753,34.46258473396301,1160.67904682088,"levenshtein:0.30, jaccard:0.70",
0.8643859888237699,0.3171,0.4639865383911914,0.633675,6342,995,13658,19005,0.6608819510070462,0.3224506946923985,0.33843125631464765,Hybrid: tfidf_soundex_80_20,0.75,0.0026929663836956024,107.7186553478241,371.33772112954614,"tfidf:0.80, soundex:0.20",
0.6725244347911936,0.3406,0.4521889209731488,0.587375,6812,3317,13188,16683,0.7547384743366056,0.627019497100801,0.1277189772358046,Levenshtein (Baseline),0.8,0.0008101374983787537,32.40549993515015,1234.358367562542,,
0.8532051282051282,0.19965,0.323581847649919,0.58265,3993,687,16007,19313,0.6288772795777109,0.3013280341164138,0.3275492454612971,Tfidf (Baseline),0.75,0.001837205594778061,73.48822379112244,544.3048958931581,,
